Visit Frequency;Days Since Last Loyalty Program Interaction;Purchase Recency;Average Spend per Visit;Loyalty Points Earned (Last X Days);Loyalty Points Redeemed (Last X Days);Total Loyalty Points Balance;Most Purchased Product Category;Change in Product Category;Time of Visit (Peak/Off-Peak);Preferred Order Method;Change in Order Method;Number of Complaints (Last X Days);Sentiment of Last Review/Feedback;Special Event Engagement;Churn Label
11;22;4;114293;238;62;2515;Coffee;0;Afternoon;Dine-in;0;3;Positive;1;1
2;21;14;114273;471;420;2289;Coffee;0;Morning;Dine-in;0;0;Positive;1;1
7;1;20;114261;175;215;1270;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;4;9;114257;15;126;2615;Pastries;0;Evening;Dine-in;0;0;Neutral;1;0
7;0;3;114255;133;251;1982;Coffee;0;Afternoon;Takeaway;0;1;Positive;1;0
6;7;22;114184;381;433;238;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
9;4;9;114179;299;76;2204;Pastries;1;Afternoon;Dine-in;0;0;Positive;0;1
3;4;2;114153;131;499;2861;Pastries;0;Morning;Takeaway;0;0;Neutral;1;0
9;19;3;114136;57;17;2456;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
5;5;33;114102;148;71;2556;Coffee;1;Morning;Dine-in;0;0;Positive;1;0
9;12;2;114094;201;443;320;Pastries;0;Morning;Dine-in;0;0;Neutral;1;0
8;0;2;114072;167;411;733;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
9;2;14;113998;274;226;2560;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
8;9;8;113894;379;30;215;Coffee;0;Morning;Delivery;0;0;Positive;1;0
4;3;5;113878;113;433;1285;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;34;53;113778;69;276;1010;Lunch;0;Evening;Dine-in;1;0;Positive;1;1
5;10;4;113658;52;416;2897;Coffee;0;Evening;Delivery;0;0;Positive;1;0
8;15;12;113597;221;324;2348;Coffee;0;Morning;Dine-in;0;0;Negative;1;0
7;25;9;113570;164;248;1769;Coffee;0;Afternoon;Delivery;0;0;Positive;1;0
5;11;23;113538;287;106;1719;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;12;5;113536;80;393;886;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
8;4;23;113536;90;8;833;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
10;25;5;113492;142;412;632;Coffee;0;Morning;Delivery;0;0;Neutral;1;0
9;5;2;113490;1;140;1363;Coffee;0;Morning;Dine-in;0;2;Positive;0;1
4;19;16;113481;355;430;426;Pastries;1;Morning;Dine-in;0;0;Positive;1;0
5;1;0;113472;459;220;2347;Coffee;0;Evening;Dine-in;0;0;Neutral;1;0
9;3;13;113467;124;377;1451;Pastries;0;Morning;Delivery;0;0;Positive;1;0
7;2;7;113465;145;111;2534;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
11;36;0;113446;80;113;417;Lunch;0;Evening;Takeaway;0;0;Positive;1;1
5;2;10;113424;233;18;2922;Coffee;0;Morning;Dine-in;0;2;Positive;1;1
10;26;1;113407;389;278;1932;Lunch;1;Afternoon;Dine-in;1;0;Neutral;1;1
11;15;5;113317;381;433;1400;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
5;9;18;113153;238;455;744;Pastries;0;Morning;Dine-in;1;0;Positive;1;0
10;25;0;113107;334;88;429;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
9;11;0;113070;14;272;1149;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
8;69;25;113025;349;211;2545;Pastries;1;Afternoon;Dine-in;0;0;Positive;1;1
3;0;8;113006;66;35;213;Lunch;1;Morning;Dine-in;0;0;Neutral;1;1
12;0;8;112983;156;205;657;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
8;2;13;112929;491;286;2901;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
12;24;9;112903;465;132;502;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
10;35;7;112850;353;125;509;Coffee;0;Morning;Dine-in;0;0;Neutral;1;1
8;27;7;112817;29;31;441;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;0;10;112791;61;7;2579;Coffee;0;Evening;Takeaway;0;2;Negative;1;1
8;3;9;112693;165;424;1166;Pastries;0;Morning;Takeaway;1;0;Positive;1;0
6;7;9;112675;156;284;58;Pastries;0;Morning;Dine-in;0;0;Neutral;1;0
7;0;26;112641;95;83;2858;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
8;16;30;112639;171;397;2569;Coffee;0;Afternoon;Takeaway;0;0;Positive;0;1
7;2;11;112635;370;90;876;Coffee;1;Evening;Dine-in;0;0;Positive;1;1
4;5;0;112600;372;470;1541;Pastries;1;Morning;Dine-in;0;0;Positive;1;1
9;20;1;112591;320;30;761;Pastries;0;Afternoon;Takeaway;0;0;Neutral;1;0
8;1;15;112590;392;294;2974;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
15;18;24;112586;174;85;2482;Coffee;0;Morning;Takeaway;0;0;Positive;1;1
10;42;3;112585;463;163;74;Coffee;0;Morning;Takeaway;0;1;Negative;1;0
5;12;6;112552;56;339;2679;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
7;4;2;112543;96;297;1125;Lunch;0;Afternoon;Takeaway;0;0;Positive;1;0
6;7;12;112521;40;65;1932;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
5;30;4;112490;433;317;702;Pastries;0;Morning;Takeaway;1;1;Negative;1;0
7;4;1;112477;223;49;1643;Lunch;0;Morning;Dine-in;0;1;Positive;1;0
14;32;6;112473;332;294;947;Lunch;0;Morning;Dine-in;0;0;Positive;1;1
12;58;15;112394;69;221;2809;Coffee;0;Afternoon;Dine-in;0;0;Negative;1;1
